name,category,vendor,price,product_url,is_sold_out,scraped_at
1in your box,dairy-eggs,Pedersen FarmsPedersen FarmsOrganic Red Kale,1 bunch$2.99,https://farmtopeople.com/product/add-veg-5841,False,2025-08-16T14:39:50.252317
,dairy-eggs,Satur FarmsSatur FarmsBaby Spinach,4 oz$3.99,https://farmtopeople.com/product/add-veg-5211,False,2025-08-16T14:39:50.268721
,dairy-eggs,Agrarian FeastAgrarian FeastOrganic Kale Microgreens,1.25 oz$8.99,https://farmtopeople.com/product/kale-flower-sprouts-1705,False,2025-08-16T14:39:50.285079
,dairy-eggs,Agrarian FeastAgrarian FeastOrganic Pea Shoots,3 oz$8.99,https://farmtopeople.com/product/pea-shoots-5108,False,2025-08-16T14:39:50.300524
,dairy-eggs,Agrarian FeastAgrarian FeastOrganic Sunflower Shoots,3.25 oz$8.99,https://farmtopeople.com/product/sunflower-sprouts-5107,False,2025-08-16T14:39:50.317006
,dairy-eggs,Agrarian FeastAgrarian FeastOrganic Broccoli Microgreens,1.25 oz$8.99,https://farmtopeople.com/product/broccoli-sprouts-5109,True,2025-08-16T14:39:50.332641
,dairy-eggs,Hepworth FarmsHepworth FarmsOrganic Swiss Chard,1 bunch$3.99,https://farmtopeople.com/product/rainbow-chard-2361,False,2025-08-16T14:39:50.346870
,dairy-eggs,Row by Row FarmRow by Row FarmOrganic Green Kale,1 bunch$2.99,https://farmtopeople.com/product/green-kale-2477,False,2025-08-16T14:39:50.360602
1in your box,dairy-eggs,Pedersen FarmsPedersen FarmsOrganic Red Kale,1 bunch$2.99,https://farmtopeople.com/product/add-veg-5841,False,2025-08-16T14:39:50.376003
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Lacinato Kale,1 bunch$3.29,https://farmtopeople.com/product/lacinato-kale-1501,False,2025-08-16T14:39:50.393187
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Collard Greens,1 bunch$2.99,https://farmtopeople.com/product/add-veg-6831,False,2025-08-16T14:39:50.411569
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Bok Choy,2 pieces$4.99,https://farmtopeople.com/product/bok-choy-organic-4908,False,2025-08-16T14:39:50.430970
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Baby Celery,1 head$3.99,https://farmtopeople.com/product/celery-4493,False,2025-08-16T14:39:50.448603
,dairy-eggs,Ocean Mist FarmOcean Mist FarmArtichokes,2 pieces$5.99,https://farmtopeople.com/product/artichoke-1820,False,2025-08-16T14:39:50.463918
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Okra,8 oz$4.99,https://farmtopeople.com/product/red-okra-organic-4781,False,2025-08-16T14:39:50.481857
3in your order,dairy-eggs,Equal Exchange Fairly TradedEqual Exchange Fairly...Organic & Fair Trade Hass Avocados,1 piece$2.50,https://farmtopeople.com/product/organic-hass-avocados-0355,False,2025-08-16T14:39:50.499354
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Fennel,2 heads$2.99$3.99,https://farmtopeople.com/product/add-veg-5239,False,2025-08-16T14:39:50.516477
,dairy-eggs,Sun Sprout FarmSun Sprout FarmOrganic Garlic Scapes,1 bunch$3.99,https://farmtopeople.com/product/garlic-scapes-organic-4749,False,2025-08-16T14:39:50.533466
,dairy-eggs,Lancaster Farm Fresh CooperativeLancaster Farm Fresh ...Organic Squash Blossoms,6 blossoms$10.99,https://farmtopeople.com/product/black-futsu-squash-4565,False,2025-08-16T14:39:50.552008
,dairy-eggs,Halal PasturesHalal PasturesOrganic Tri-Color String Beans,12 oz$5.99,https://farmtopeople.com/product/add-veg-5565,False,2025-08-16T14:39:50.568016
